district,zone,date,temperature,humidity,solar_radiation,uv,tmax,tmin,dew_point,heat_index,wet_bulb,wbgt_shade,wbgt_sun,heatstroke_hazard,cdd,heat_index_lo95,heat_index_hi95,heat_index_lo68,heat_index_hi68,wet_bulb_lo95,wet_bulb_hi95,wet_bulb_lo68,wet_bulb_hi68,wbgt_shade_lo95,wbgt_shade_hi95,wbgt_shade_lo68,wbgt_shade_hi68,wbgt_sun_lo95,wbgt_sun_hi95,wbgt_sun_lo68,wbgt_sun_hi68
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2025-01-01,18.853898381634764,73.56897215247872,194.58584105199338,6.9106160279096684,24.27887766335604,14.617014062425037,14.35915186608481,18.71581138155741,15.647766464069718,16.609606039339234,17.5825352445992,1.5993832868335832e-07,1.4479458628905384,17.575136558197258,19.85648620491756,18.133834430863452,19.297788332251365,14.679820852796558,16.61571207534288,15.15391666239974,16.1416162657397,15.855893033364325,17.363319045314142,16.225058587311217,16.99415349136725,16.82882223862429,18.33624825057411,17.197987792571183,17.967082696627216
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2025-02-01,22.12629457689819,64.95902924546411,215.0378062226207,7.783286426471349,27.64016315614279,17.493664564538303,15.498573328379237,22.090632020441806,17.590159363521522,18.95099992753452,20.026188958647626,1.340662795349404e-06,4.566913860340549,20.949957197081655,23.231306843801956,21.50865506974785,22.672608971135762,16.62221375224836,18.558104974794684,17.09630956185154,18.084009165191503,18.197286921559613,19.70471293350943,18.566452475506505,19.335547379562538,19.272475952672718,20.779901964622535,19.64164150661961,20.410736410675643
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2025-03-01,26.52303660883648,62.78924728321934,243.58864605798,8.441777029487625,31.85196120273632,21.74228218591826,18.663986191260044,27.658731078899024,21.292034126478146,22.861334871185647,24.079278101475545,4.473917447759785e-05,8.797121694327288,26.518056255538873,28.799405902259174,27.076754128205067,28.24070802959298,20.324088515204984,22.25997973775131,20.798184324808165,21.785883928148127,22.10762186521074,23.615047877160556,22.47678741915763,23.245882323213664,23.325565095500636,24.832991107450454,23.69473064944753,24.46382555350356
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2025-04-01,29.967287689339663,66.25944849811654,244.72329561835977,8.667511857207266,35.35574261915802,25.49805918736462,22.85091558656024,34.09065356661521,24.9762273733062,26.47354546811624,27.697161946208038,0.010164853104179415,12.42690090326132,32.94997874325506,35.23132838997536,33.50867661592125,34.672630517309166,24.00828176203304,25.944172984579364,24.48237757163622,25.470077174976183,25.71983246214133,27.227258474091148,26.088998016088222,26.858092920144255,26.94344894023313,28.450874952182946,27.31261449418002,28.081709398236054
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2025-05-01,29.604019637013828,73.32187738328372,223.46509716599985,7.853425573152528,34.25537419949326,25.76023313358198,24.284227508302273,34.84180257944157,25.738534836876717,26.89818027691785,28.01550576274785,0.016191721177297513,12.007803666537619,33.70112775608142,35.98247740280172,34.25982562874761,35.423779530135526,24.770589225603555,26.70648044814988,25.244685035206736,26.232384638546698,26.14446727094294,27.651893282892757,26.513632824889832,27.282727728945865,27.26179275677294,28.76921876872276,27.630958310719834,28.400053214775866
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2025-06-01,29.521176621687385,77.13691064255849,180.12044475369862,6.439685685273673,33.15683251812368,26.842997782150515,25.92265687369747,35.525365861187794,26.239838190480366,27.224239719842473,28.124841943610967,0.030798113196602646,11.999915150137099,34.38469103782764,36.666040684547944,34.94338891049384,36.10734281188175,25.271892579207204,27.20778380175353,25.745988388810385,26.733687992150347,26.470526713867564,27.97795272581738,26.839692267814456,27.60878717187049,27.37112893763606,28.878554949585876,27.74029449158295,28.509389395638983
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2025-07-01,29.38919701639975,77.97945999267114,177.05474292940494,6.242089111878322,32.42017396558482,27.207903525608344,26.03206961565514,35.36277195580572,26.24082316307966,27.185335319075687,28.07060903372271,0.027883144083207176,11.814038745596584,34.22209713244557,36.50344677916587,34.78079500511176,35.944748906499676,25.2728775518065,27.208768774352823,25.74697336140968,26.73467296474964,26.431622313100778,27.939048325050596,26.80078786704767,27.569882771103703,27.316896027747802,28.82432203969762,27.686061581694695,28.455156485750727
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2025-08-01,28.995880109755714,78.39204067947847,168.14197388842604,5.755270005477641,31.945526162464603,26.772218510966916,26.065842607491405,34.38484680695697,25.92683302518532,26.847547150556437,27.688257019998566,0.012203145497246829,11.35887233671576,33.24417198359682,35.52552163031712,33.802869856263015,34.96682375765093,24.95888741391216,26.894778636458483,25.43298322351534,26.420682826855302,26.09383414458153,27.601260156531346,26.46299969852842,27.232094602584453,26.934544014023658,28.441970025973475,27.30370956797055,28.072804472026583
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2025-09-01,29.205465050074995,77.62492190382542,180.59172853680434,6.456467324466907,32.544766356648466,26.709418103719756,26.05720274880185,34.78070557306197,26.012352449564336,26.970286229717534,27.873244872401557,0.019490302744607505,11.627092230184111,33.64003074970182,35.92138039642212,34.198728622368016,35.36268252375593,25.044406838291174,26.980298060837498,25.518502647894355,26.506202251234317,26.216573223742625,27.723999235692443,26.585738777689517,27.35483368174555,27.119531866426648,28.626957878376466,27.48869742037354,28.257792324429573
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2025-10-01,28.10369429016441,74.6389259634235,181.5851625067951,6.501664320348468,31.99257312286258,25.295998028279254,24.00166803588929,31.5321570193165,24.52149432456582,25.596154314245396,26.50408012677937,0.002048906490191041,10.644285575570919,30.39148219595635,32.67283184267665,30.950180068622544,32.11413397001046,23.553548713292656,25.48943993583898,24.027644522895837,25.0153441262358,24.842441308270487,26.349867320220305,25.21160686221738,25.980701766273413,25.750367120804462,27.25779313275428,26.119532674751355,26.888627578807387
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2025-11-01,25.183142552639676,70.97540785277349,182.95438519203253,6.60204452672297,30.012819751051808,21.117542589727577,19.23336845026723,25.610259124059397,21.246396546276948,22.427420348185766,23.34219227414593,1.231076814034143e-05,7.5651811703896925,24.469584300699246,26.750933947419547,25.02828217336544,26.192236074753353,20.278450935003786,22.21434215755011,20.752546744606967,21.74024634794693,21.673707342210857,23.181133354160675,22.04287289615775,22.811967800213782,22.58847926817102,24.09590528012084,22.957644822117913,23.726739726173946
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2025-12-01,20.988824256112334,73.7823548743078,167.65689789845624,6.36231502281251,26.247426923123484,16.834332995196558,15.849116927115803,21.069801503441607,17.686574214536268,18.67724922700909,19.51553371650137,7.047191453704014e-07,3.540879959160023,19.929126680081456,22.210476326801757,20.48782455274765,21.651778454135563,16.718628603263106,18.65451982580943,17.192724412866287,18.18042401620625,17.92353622103418,19.430962232983997,18.292701774981072,19.061796679037105,18.76182071052646,20.26924672247628,19.130986264473353,19.900081168529386
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2026-01-01,18.87698951794809,73.49548555847986,195.29777449677886,6.934114365039264,24.337423198684405,14.627498614353518,14.367446295003122,18.73929281488098,15.66057054038533,16.625496233654157,17.601985106138052,1.6232193011960428e-07,1.4824609065189627,17.59861799152083,19.87996763824113,18.157315864187023,19.321269765574936,14.692624929112169,16.62851615165849,15.16672073871535,16.15442034205531,15.871783227679249,17.379209239629066,16.24094878162614,17.010043685682174,16.848272100163143,18.35569811211296,17.217437654110036,17.98653255816607
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2026-02-01,22.149385713211508,64.88554265146524,215.74973966740617,7.806784763600945,27.698708691471154,17.504149116466785,15.506867757297549,22.11411345376537,17.601448920989043,18.96582995865578,20.044578656992815,1.360642912960983e-06,4.601428903968969,20.97343863040522,23.25478827712552,21.532136503071413,22.696090404459326,16.63350330971588,18.569394532262205,17.10759911931906,18.095298722659024,18.212116952680873,19.71954296463069,18.581282506627765,19.350377410683798,19.290865651017906,20.798291662967724,19.6600312049648,20.42912610902083
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2026-03-01,26.546127745149807,62.7157606892205,244.30057950276546,8.46527536661722,31.910506738064683,21.75276673784674,18.67228062017836,27.683725820134917,21.30198633370787,22.875228757140448,24.096731654654278,4.544908284431201e-05,8.831636737955712,26.543050996774767,28.824400643495068,27.10174886944096,28.265702770828874,20.334040722434708,22.269931944981032,20.80813653203789,21.79583613537785,22.12151575116554,23.628941763115357,22.49068130511243,23.259776209168464,23.34301864867937,24.850444660629186,23.71218420262626,24.481279106682294
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2026-04-01,29.99037882565299,66.18596190411768,245.43522906314524,8.691010194336862,35.414288154486385,25.508543739293103,22.859210015478553,34.1253778907734,24.985789332908613,26.487166180731926,27.714342326047653,0.010386753940883764,12.461415946889744,32.98470306741325,35.26605271413355,33.543400940079444,34.70735484146736,24.01784372163545,25.953734944181775,24.491939531238632,25.479639134578594,25.733453174757017,27.240879186706835,26.10261872870391,26.871713632759942,26.960629320072744,28.468055332022562,27.329794874019637,28.09888977807567
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2026-05-01,29.627110773327153,73.24839078928485,224.17703061078532,7.87692391028213,34.313919734821624,25.770717685510462,24.292521937220585,34.883190044660516,25.749017726213697,26.912445640347734,28.03333079340166,0.01661057678433579,12.042318710166043,33.742515221300366,36.02386486802067,34.30121309396656,35.46516699535447,24.781072114940535,26.71696333748686,25.255167924543716,26.24286752788368,26.158732634372825,27.666158646322643,26.527898188319718,27.29699309237575,27.27961778742675,28.78704379937657,27.648783341373644,28.417878245429677
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2026-06-01,29.54426775800071,77.06342404855965,180.8323781984841,6.463184022403269,33.21537805345204,26.853482334078993,25.93095130261578,35.57101161280641,26.250732531743292,27.238793099620516,28.142954990612935,0.03166817210668254,12.034430193765516,34.43033678944626,36.71168643616656,34.98903466211245,36.152988563500365,25.28278692047013,27.218678143016454,25.75688273007331,26.744582333413273,26.485080093645607,27.992506105595425,26.8542456475925,27.623340551648532,27.389241984638026,28.896667996587844,27.75840753858492,28.52750244264095
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2026-07-01,29.412288152713074,77.9059733986723,177.7666763741904,6.265587449007917,32.478719500913186,27.218388077536822,26.04036404457345,35.40921599503591,26.251826291996757,27.19996485021165,28.088798232082603,0.028687300455205404,11.848553789225004,34.26854117167576,36.54989081839606,34.82723904434195,35.991192945729864,25.283880680723595,27.21977190326992,25.757976490326776,26.745676093666738,26.44625184423674,27.95367785618656,26.815417398183634,27.584512302239666,27.335085226107694,28.84251123805751,27.704250780054586,28.47334568411062
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2026-08-01,29.01897124606904,78.3185540854796,168.8539073332115,5.778768342607236,32.004071697792966,26.782703062895393,26.074137036409716,34.43111883688023,25.937954274207925,26.862259365766256,27.706528902432318,0.012558453302646308,11.39338738034418,33.29044401352008,35.57179366024038,33.849141886186274,35.01309578757419,24.970008662934763,26.905899885481087,25.444104472537944,26.431804075877906,26.108546359791347,27.615972371741165,26.47771191373824,27.246806817794273,26.95281589645741,28.460241908407227,27.3219814504043,28.091076354460334
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2026-09-01,29.22855618638832,77.55143530982659,181.3036619815898,6.479965661596502,32.60331189197683,26.719902655648234,26.06549717772016,34.826408782945556,26.02335836168373,26.984917709095107,27.891436019003056,0.020048230370716975,11.661607273812532,33.685733959585406,35.96708360630571,34.2444318322516,35.40838573363951,25.055412750410568,26.991303972956892,25.52950856001375,26.51720816335371,26.2312047031202,27.738630715070016,26.60037025706709,27.369465161123124,27.137723013028147,28.645149024977965,27.50688856697504,28.275983471031072
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2026-10-01,28.126785426477735,74.56543936942467,182.29709595158056,6.52516265747807,32.051118658190944,25.306482580207735,24.0099624648076,31.572323818518285,24.53243299696994,25.61073872582228,26.522224205580184,0.0021012778935806144,10.67880061919934,30.431648995158135,32.712998641878436,30.99034686782433,32.15430076921224,23.56448738569678,25.500378608243103,24.03858319529996,25.026282798639922,24.85702571984737,26.36445173179719,25.226191273794264,25.995286177850296,25.768511199605275,27.275937211555092,26.137676753552167,26.9067716576082
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2026-11-01,25.206233688953002,70.90192125877465,183.666318636818,6.625542863852566,30.07136528638017,21.12802714165606,19.24166287918554,25.633740557382982,21.25759738348321,22.442188275124145,23.360519868308238,1.2494227324426531e-05,7.599696214018117,24.49306573402283,26.774415380743132,25.051763606689025,26.21571750807694,20.289651772210046,22.22554299475637,20.763747581813227,21.75144718515319,21.688475269149237,23.195901281099054,22.05764082309613,22.826735727152162,22.60680686233333,24.114232874283147,22.97597241628022,23.745067320336254
Chandpur,4. Coastal Humid Heat Zone (Coastal Belt),2026-12-01,21.01191539242566,73.70886828030893,168.3688313432417,6.385813359942105,26.305972458451848,16.84481754712504,15.857411356034115,21.093282936765185,17.698940020678922,18.692832632202943,19.534676788919153,7.15221724315415e-07,3.5753950027884436,19.952608113405034,22.233957760125335,20.51130598607123,21.67525988745914,16.73099440940576,18.666885631952084,17.20509021900894,18.192789822348903,17.939119626228035,19.446545638177852,18.308285180174927,19.07738008423096,18.780963782944244,20.288389794894062,19.150129336891137,19.91922424094717
