district,zone,date,temperature,humidity,solar_radiation,uv,tmax,tmin,dew_point,heat_index,wet_bulb,wbgt_shade,wbgt_sun,heatstroke_hazard,cdd,heat_index_lo95,heat_index_hi95,heat_index_lo68,heat_index_hi68,wet_bulb_lo95,wet_bulb_hi95,wet_bulb_lo68,wet_bulb_hi68,wbgt_shade_lo95,wbgt_shade_hi95,wbgt_shade_lo68,wbgt_shade_hi68,wbgt_sun_lo95,wbgt_sun_hi95,wbgt_sun_lo68,wbgt_sun_hi68
Cox_s Bazar,4. Coastal Humid Heat Zone (Coastal Belt),2025-01-01,20.738991575244867,72.93674146586721,197.24476913573164,7.239737039698667,26.39747638346529,17.22173622419847,15.442485079013505,20.77290564882255,17.343415990438093,18.362088665880123,19.34831251155878,5.844992868272567e-07,3.8096063038318775,20.019504055645548,21.526307241999554,20.3885170808751,21.15729421677,16.83149034673746,17.855341634138725,17.08222943752961,17.604602543346576,17.940875210396296,18.78330212136395,18.147183841653682,18.576993490106563,18.927099056074955,19.769525967042608,19.13340768733234,19.56321733578522
Cox_s Bazar,4. Coastal Humid Heat Zone (Coastal Belt),2025-02-01,22.566489284318635,69.93360952568827,233.26989619832602,8.23831210559593,28.732346182739633,18.693468496083263,16.55141808435273,22.70473801703236,18.66209595164357,19.833413951446087,20.999763432437717,1.973971940462288e-06,5.712907339411448,21.951336423855356,23.45813961020936,22.320349449084908,23.08912658497981,18.150170307942936,19.1740215953442,18.400909398735084,18.923282504552052,19.41220049596226,20.254627406929913,19.618509127219646,20.048318775672527,20.57854997695389,21.420976887921544,20.784858608211277,21.214668256664158
Cox_s Bazar,4. Coastal Humid Heat Zone (Coastal Belt),2025-03-01,26.358656081348414,70.48499165614173,259.4332440385271,8.75150663018567,31.879380632385953,22.410936407484606,19.941104242335538,27.851439979801363,22.2739167286153,23.499338534435235,24.796504754627872,0.00012628205900861141,9.14515851993528,27.09803838662436,28.604841572978366,27.467051411853912,28.235828547748813,21.76199108491467,22.785842372315933,22.012730175706817,22.535103281523785,23.07812507895141,23.920551989919062,23.284433710208795,23.714243358661676,24.375291299144045,25.2177182101117,24.58159993040143,25.011409578854312
Cox_s Bazar,4. Coastal Humid Heat Zone (Coastal Belt),2025-04-01,29.359647283243476,75.29978833775606,277.7365810268666,9.2870698023567,33.701346913437746,26.072599192164684,24.29746878917892,34.66762407104925,25.808816619762265,26.874065818806628,28.26274872394096,0.014539560686110665,11.886973052801217,33.914222477872244,35.42102566422625,34.28323550310179,35.0520126389967,25.296890976061633,26.320742263462897,25.54763006685378,26.07000317267075,26.4528523633228,27.295279274290454,26.659160994580187,27.08897064303307,27.841535268457132,28.683962179424785,28.04784389971452,28.4776535481674
Cox_s Bazar,4. Coastal Humid Heat Zone (Coastal Belt),2025-05-01,29.54036097528162,78.33424766315213,243.41169550065825,8.200957835950467,33.27021493298278,26.540824809970722,25.233947160810953,35.87083101280228,26.438509936894672,27.369065248410756,28.586123725914042,0.03800189470646619,11.905519871476752,35.117429419625275,36.62423260597928,35.48644244485482,36.25521958074973,25.92658429319404,26.950435580595304,26.177323383986188,26.699696489803156,26.94785179292693,27.790278703894582,27.154160424184315,27.583970072637197,28.164910270430216,29.00733718139787,28.3712189016876,28.801028550140483
Cox_s Bazar,4. Coastal Humid Heat Zone (Coastal Belt),2025-06-01,28.514070559881908,86.30893876037271,167.91925704589084,6.299896572249448,31.849385879540733,26.37493192174137,25.89344695535381,34.70397002344897,26.623241412447307,27.190490156677683,28.030086441907137,0.018587585071191855,11.112158900641052,33.950568430271964,35.45737161662597,34.31958145550151,35.08835859139642,26.111315768746675,27.13516705614794,26.362054859538823,26.88442796535579,26.769276701193856,27.61170361216151,26.975585332451242,27.405394980904124,27.60887298642331,28.451299897390964,27.815181617680697,28.244991266133578
Cox_s Bazar,4. Coastal Humid Heat Zone (Coastal Belt),2025-07-01,28.102597903693344,87.56642982534493,160.32769205299144,5.928518546714955,30.940645476710685,26.211575189769057,25.77574468823088,33.761646720198854,26.40223633172531,26.91234480331572,27.71398326358068,0.010352071922223267,10.576110333239871,33.00824512702185,34.51504831337586,33.3772581522514,34.14603528814631,25.890310688024677,26.91416197542594,26.141049778816825,26.663422884633793,26.491131347831892,27.333558258799545,26.69743997908928,27.12724962754216,27.292769808096853,28.135196719064506,27.49907843935424,27.92888808780712
Cox_s Bazar,4. Coastal Humid Heat Zone (Coastal Belt),2025-08-01,27.808960490223846,88.99271862603649,131.82714075516662,5.276319536980925,30.428497530665446,26.07115333910794,25.74606193500658,33.20498326814876,26.31811065519356,26.765365605702645,27.424501309478476,0.007312283379081293,10.249825434886695,32.451581674971756,33.95838486132576,32.820594700201305,33.58937183609621,25.80618501149293,26.830036298894193,26.056924102285077,26.579297208102044,26.344152150218818,27.18657906118647,26.550460781476204,26.980270429929085,27.00328785399465,27.845714764962302,27.209596485252035,27.639406133704917
Cox_s Bazar,4. Coastal Humid Heat Zone (Coastal Belt),2025-09-01,28.223397158388487,86.62921108715615,169.97817448108572,6.511093652582664,31.814743953741868,26.139283806089896,25.712317214728323,33.90659227470968,26.385648534581716,26.936973121723746,27.786863994129178,0.01133066834907223,10.97701387991588,33.15319068153268,34.65999386788668,33.52220370676223,34.290980842657135,25.873722890881083,26.897574178282348,26.12446198167323,26.6468350874902,26.51575966623992,27.358186577207572,26.722068297497305,27.151877945950186,27.36565053864535,28.208077449613004,27.571959169902737,28.001768818355618
Cox_s Bazar,4. Coastal Humid Heat Zone (Coastal Belt),2025-10-01,28.09404142228533,82.09860456429818,188.700478347095,6.915352617956122,32.297372646350446,25.414035860138235,24.601927476983402,32.675976347440596,25.60515016751289,26.35181754394462,27.295319935680098,0.0042005367820018066,10.85570425324434,31.922574754263593,33.4293779406176,32.29158777949314,33.06036491538805,25.093224523812257,26.11707581121352,25.343963614604405,25.866336720421373,25.930604088460793,26.773030999428446,26.13691271971818,26.56672236817106,26.87410648019627,27.716533391163924,27.080415111453657,27.51022475990654
