district,zone,date,temperature,humidity,solar_radiation,uv,tmax,tmin,dew_point,heat_index,wet_bulb,wbgt_shade,wbgt_sun,heatstroke_hazard,cdd,heat_index_lo95,heat_index_hi95,heat_index_lo68,heat_index_hi68,wet_bulb_lo95,wet_bulb_hi95,wet_bulb_lo68,wet_bulb_hi68,wbgt_shade_lo95,wbgt_shade_hi95,wbgt_shade_lo68,wbgt_shade_hi68,wbgt_sun_lo95,wbgt_sun_hi95,wbgt_sun_lo68,wbgt_sun_hi68
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),2025-01-01,18.48159826695252,74.1158645865658,195.35446411955104,6.921400428548857,24.11149665410639,13.508292086272295,14.128247212672324,18.320561224519214,15.36296675561195,16.29855620901412,17.275328529611876,1.246837925291751e-07,0.8098943701893404,17.171435878496126,19.4696865705423,17.7342727826707,18.906849666367727,14.39476976717978,16.33116374404412,14.868988700289414,15.856944810934486,15.544961378812836,17.052151039215403,15.914069050748159,16.68304336728008,16.521733699410593,18.02892335981316,16.890841371345914,17.65981568787784
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),2025-02-01,21.95672565615354,65.20002082619138,216.17396134389924,7.814686372497171,27.593764267468543,16.778042144856233,15.330365577298405,21.910398765563883,17.467047698270278,18.813951085635257,19.89482089235475,1.1967599746263023e-06,4.185903206162386,20.761273419540796,23.05952411158697,21.32411032371537,22.496687207412396,16.49885070983811,18.435244686702447,16.973069642947742,17.961025753592814,18.060356255433973,19.56754591583654,18.429463927369294,19.19843824390122,19.141226062153468,20.648415722556035,19.51033373408879,20.279308050620713
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),2025-03-01,26.400694288844083,63.10951007077057,245.23420455595806,8.544556102843536,31.9161396477691,21.13185634143717,18.571510231560396,27.5226052030161,21.228742330990134,22.780327918346316,24.006498941126107,4.106304576024841e-05,8.523997994603135,26.37347985699301,28.671730549039186,26.936316761167586,28.10889364486461,20.260545342557965,22.196939319422302,20.734764275667597,21.72272038631267,22.026733088145033,23.5339227485476,22.395840760080354,23.16481507661228,23.252904110924824,24.76009377132739,23.622011782860145,24.39098609939207
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),2025-04-01,29.916571231936167,66.01761056772403,248.24942760622412,8.883608571525045,35.46073314751092,25.033933599126588,22.662133645107915,33.92504924164294,24.89119257247741,26.398806170315037,27.64005330834616,0.009169336136769722,12.247333373318753,32.775923895619854,35.07417458766602,33.33876079979442,34.511337683491455,23.922995584045243,25.85938956090958,24.397214517154875,25.385170627799948,25.645211340113754,27.15240100051632,26.014319012049075,26.783293328581,26.886458478144878,28.393648138547444,27.2555661500802,28.024540466612123
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),2025-05-01,29.56292173071821,73.20760537324134,223.7367125103135,7.931133934916836,34.46842650393795,25.443567985015093,24.174921862152008,34.711839357619475,25.68235949798755,26.846528167806746,27.965211730358313,0.014942591750525293,11.95599724447652,33.56271401159639,35.86096470364256,34.12555091577096,35.29812779946799,24.714162509555383,26.65055648641972,25.188381442665015,26.176337553310088,26.092933337605462,27.60012299800803,26.462041009540783,27.231015326072708,27.21161690015703,28.718806560559596,27.58072457209235,28.349698888624275
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),2025-06-01,29.551322539154324,77.14211225167395,184.58374390387416,6.677688985265149,33.40388109580219,26.65193308791996,25.837950203661205,35.60950230786646,26.269330731632806,27.253928273889258,28.17684699340863,0.032420283779481855,12.027907091861074,34.46037696184337,36.75862765388954,35.02321386601794,36.19579074971497,25.301133743200637,27.237527720064975,25.77535267631027,26.763308786955342,26.500333443687975,28.00752310409054,26.869441115623296,27.63841543215522,27.423252163207348,28.930441823609915,27.79235983514267,28.561334151674593
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),2025-07-01,29.3915410653458,77.85510890522613,180.21957241725522,6.480467310086368,32.57427435893838,27.17863953840383,26.05963267177457,35.33995010437685,26.224385887192422,27.174532440638437,28.07563030272471,0.02749605922386954,11.876456948671105,34.19082475835376,36.48907545039993,34.75366166252833,35.92623854622536,25.256188898760254,27.19258287562459,25.730407831869886,26.71836394251496,26.420937610437154,27.92812727083972,26.790045282372475,27.5590195989044,27.322035472523428,28.829225132925995,27.69114314445875,28.460117460990674
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),2025-08-01,29.011699746453438,78.2029209868638,169.29739720787006,6.128709459636433,32.178384438645494,26.81824491537335,25.99876588665086,34.38704592279684,25.91377797761015,26.843154508263133,27.68964149430249,0.012219805550927469,11.498314677009422,33.23792057677375,35.53617126881992,33.80075748094832,34.97333436464535,24.94558098917798,26.881974966042318,25.419799922287613,26.407756032932685,26.08955967806185,27.596749338464416,26.45866734999717,27.227641666529095,26.936046664101205,28.443236324503772,27.305154336036527,28.07412865256845
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),2025-09-01,29.14871704138241,77.71740291124203,182.32479250081792,6.628414218141387,32.66002427743027,26.616302512908646,25.977744342170013,34.648826754606944,25.972073862670246,26.925066816283895,27.836690778787986,0.01437146910613038,11.638163395169457,33.49970140858386,35.79795210063003,34.06253831275843,35.23511519645546,25.003876874238077,26.940270851102415,25.47809580734771,26.466051917992782,26.17147198608261,27.67866164648518,26.540579658017933,27.309553974549857,27.083095948586703,28.59028560898927,27.452203620522024,28.221177937053948
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),2025-10-01,28.019774061187693,74.63747364104103,183.0055736891179,6.636577812887722,32.00930805532221,24.98437522702879,23.89869728140561,31.34722570694093,24.441953413776428,25.515299607999808,26.430327476445395,0.001824089953748185,10.4968416411755,30.19810036091784,32.496351052964016,30.760937265092416,31.933514148789442,23.47375642534426,25.410150402208597,23.947975358453892,24.935931469098964,24.761704777798524,26.26889443820109,25.130812449733845,25.89978676626577,25.676732646244112,27.18392230664668,26.045840318179433,26.814814634711357
Madaripur,2. Central Urban Heat Zone (Urban Heat-Island Region),2025-11-01,24.851871630900067,71.63355031905664,184.60358905982685,6.712271706243783,29.899277877546027,19.908003650199472,19.035485210265193,25.26304594120988,21.02896642698482,22.175837988159394,23.098855933458527,9.892156065630287e-06,6.903640763872751,24.113920595186794,26.41217128723297,24.67675749936137,25.849334383058395,20.06076943855265,21.99716341541699,20.534988371662283,21.522944482307356,21.42224315795811,22.929432818360677,21.79135082989343,22.560325146425356,22.345261103257243,23.85245076365981,22.714368775192565,23.48334309172449
