district,zone,date,temperature,humidity,solar_radiation,uv,tmax,tmin,dew_point,heat_index,wet_bulb,wbgt_shade,wbgt_sun,heatstroke_hazard,cdd,heat_index_lo95,heat_index_hi95,heat_index_lo68,heat_index_hi68,wet_bulb_lo95,wet_bulb_hi95,wet_bulb_lo68,wet_bulb_hi68,wbgt_shade_lo95,wbgt_shade_hi95,wbgt_shade_lo68,wbgt_shade_hi68,wbgt_sun_lo95,wbgt_sun_hi95,wbgt_sun_lo68,wbgt_sun_hi68
Naogaon,1. Northwest Extreme Heat Zone (Dry Hot Plains),2025-01-01,16.534585728756227,79.57081266387206,173.43183821453113,6.8700505508123655,23.218483383525594,11.946601227229376,13.121703817708983,16.321282187855175,14.152887247689875,14.867396792009782,15.734555983082435,3.538314320023529e-08,0.0,15.172107160463648,17.470457215246704,15.734968398369702,16.907595977340648,13.143038702798846,15.162735792580905,13.637658398255676,14.668116097124075,14.09404939491043,15.640744189109133,14.472831793489705,15.261961790529858,14.961208585983083,16.507903380181787,15.339990984562359,16.12912098160251
Naogaon,1. Northwest Extreme Heat Zone (Dry Hot Plains),2025-02-01,20.041182789508298,72.11896881223059,208.75697839171858,7.750267282220179,27.087624736952435,14.58841952614541,14.713339195614573,19.983963031889598,16.58470908505694,17.621651196392346,18.66543608835094,3.555702564099656e-07,2.8380221315489216,18.83478800449807,21.133138059281126,19.397649242404125,20.57027682137507,15.57486054016591,17.59455762994797,16.06948023562274,17.099937934491138,16.848303799292996,18.394998593491696,17.227086197872268,18.016216194912424,17.89208869125159,19.43878348545029,18.270871089830862,19.06000108687102
Naogaon,1. Northwest Extreme Heat Zone (Dry Hot Plains),2025-03-01,24.765242047246023,70.09953767092934,245.6805752424841,8.637440847468667,31.676053274479273,19.173274523480657,18.400318907762454,25.12769862448934,20.733189817344503,21.942805486314956,23.171208362527377,9.083661494464879e-06,7.424663898979965,23.978523597097812,26.27687365188087,24.541384835003868,25.714012413974814,19.72334127245347,21.743038362235534,20.217960967910305,21.2484186667787,21.169458089215606,22.716152883414306,21.548240487794878,22.337370484835034,22.397860965428027,23.944555759626727,22.7766433640073,23.565773361047455
Naogaon,1. Northwest Extreme Heat Zone (Dry Hot Plains),2025-04-01,29.20975009528228,71.28596800627612,269.54738855083633,9.136126463472152,36.108348701259985,23.562403042545306,20.7753858042774,33.44731669910304,25.05686431217612,26.302730047107964,27.650466989862146,0.006806491121710123,11.835375871902645,32.29814167171151,34.59649172649457,32.86100290961757,34.033630488588514,24.04701576728509,26.066712857067152,24.541635462741922,25.57209316161032,25.529382650008614,27.076077444207314,25.908165048587886,26.697295045628042,26.877119592762796,28.423814386961496,27.255901991342068,28.045031988382224
Naogaon,1. Northwest Extreme Heat Zone (Dry Hot Plains),2025-05-01,29.391314206129145,78.34100108819311,233.724257039308,8.054909885863694,34.881944893088914,24.743768632896412,23.602697618735455,35.45411442337875,26.297100242893553,27.22536443186423,28.393985717060772,0.02948606697315857,11.812856762992663,34.30493939598722,36.603289450770276,34.867800633893275,36.04042821286422,25.28725169800252,27.306948787784584,25.781871393459355,26.81232909232775,26.45201703476488,27.99871182896358,26.83079943334415,27.619929430384307,27.620638319961422,29.167333114160122,27.999420718540694,28.78855071558085
Naogaon,1. Northwest Extreme Heat Zone (Dry Hot Plains),2025-06-01,30.392760265626688,81.36358853465288,194.16222828672812,6.932728109636443,35.04424770197976,27.084688756185788,26.329177854755617,39.3221943413279,27.713525338875396,28.517295816900784,29.488106958334424,0.25787981431617346,13.06446822908277,38.17301931393637,40.47136936871943,38.73588055184243,39.908508130813374,26.703676793984364,28.723373883766428,27.198296489441198,28.228754188309594,27.743948419801434,29.290643214000134,28.122730818380706,28.911860815420862,28.714759561235073,30.261454355433774,29.093541959814345,29.8826719568545
Naogaon,1. Northwest Extreme Heat Zone (Dry Hot Plains),2025-07-01,30.270939907895404,82.85947464631124,180.06811312072728,6.504004564840571,33.891367586794786,27.533568800509336,26.900641259639748,39.392426427148834,27.82158845692911,28.556393892219,29.456734457822638,0.26643784329354947,12.712468193652061,38.243251399757305,40.54160145454036,38.80611263766336,39.97874021663431,26.811739912038078,28.83143700182014,27.30635960749491,28.336817306363308,27.78304649511965,29.32974128931835,28.16182889369892,28.950958890739077,28.683387060723287,30.230081854921988,29.06216945930256,29.851299456342716
Naogaon,1. Northwest Extreme Heat Zone (Dry Hot Plains),2025-08-01,29.893896800995442,83.94506202200698,167.06275082828074,6.364995875371349,33.42092164850247,27.285300182468184,26.582086252217742,38.467351793523704,27.6188167552335,28.301340768962078,29.136654523103488,0.16860190794139457,12.353110915485328,37.318176766132176,39.61652682091523,37.88103800403823,39.05366558300918,26.608968210342468,28.62866530012453,27.1035879057993,28.134045604667698,27.527993371862728,29.074688166061428,27.906775770442,28.695905767482156,28.363307126004138,29.910001920202838,28.74208952458341,29.531219521623566
Naogaon,1. Northwest Extreme Heat Zone (Dry Hot Plains),2025-09-01,29.537702782017085,84.31959513364478,168.91373567982532,6.45322295289138,33.23611786968742,26.81975926885154,26.628536332774395,37.406493580597456,27.328676343154154,27.99138427481303,28.835952953212157,0.09415643331126254,12.02793856926948,36.25731855320593,38.555668607988984,36.82017979111198,37.99280737008293,26.318827798263122,28.338524888045185,26.813447493719956,27.843905192588352,27.21803687771368,28.76473167191238,27.59681927629295,28.385949273333107,28.062605556112807,29.609300350311507,28.44138795469208,29.230517951732235
Naogaon,1. Northwest Extreme Heat Zone (Dry Hot Plains),2025-10-01,27.577091802900807,83.15294274012189,170.82182659948353,6.544018905777904,32.04689312226763,24.261055399029985,24.35662201186546,31.47979249244597,25.25740369194684,25.953310125233028,26.807419258230446,0.0019825813254805568,10.153974260648809,30.33061746505444,32.628967519837495,30.893478702960497,32.06610628193144,24.24755514705581,26.267252236837873,24.742174842512643,25.77263254138104,25.179962728133678,26.726657522332378,25.55874512671295,26.347875123753106,26.034071861131096,27.580766655329796,26.412854259710368,27.201984256750524
