district,zone,variable,Model,R2,CV_R2,RMSE,Gen_Gap,Composite_Score,Status
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),temperature,CatBoost,0.9606536947420289,0.9610466372785142,0.8245184453077944,0.00039294253648536337,0.9807679783830371,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),temperature,LightGBM,0.9617765138439085,0.9626144473280984,0.8126687207547939,0.0008379334841899233,0.9661106656552824,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),temperature,XGBoost,0.9561582840654468,0.9603504010799734,0.8703464637365451,0.004192117014526597,0.8407213264932435,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),temperature,RandomForest,0.930218590142548,0.7697572525516387,1.0980402677624619,0.1604613375909093,0.0,Overfit Risk
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),humidity,RandomForest,0.7707792255146396,0.7121039813262461,2.5099438487798027,0.05867524418839354,0.7744737679749188,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),humidity,CatBoost,0.7391704989172225,0.720410851936708,2.677413034276706,0.018759646980514577,0.7403686289792928,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),humidity,LightGBM,0.7206854029913039,0.7098160753991831,2.770663824086914,0.010869327592120781,0.615994974210369,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),humidity,XGBoost,0.6796464970585036,0.6390546356892433,2.9672337258332386,0.040591861369260296,0.07565332539003398,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),solar_radiation,RandomForest,0.7718955955677177,0.6859551708127778,16.37813531895477,0.0859404247549399,0.5755169044523755,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),solar_radiation,CatBoost,0.7200980419051412,0.7536928280266861,18.1426443752954,0.033594786121544984,0.5477169947747124,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),solar_radiation,LightGBM,0.7183712681602819,0.7981751013560496,18.19852121344102,0.07980383319576778,0.4804477671455998,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),solar_radiation,XGBoost,0.667269408410984,0.6731991758086133,19.780806087672524,0.005929767397629293,0.2,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),uv,LightGBM,0.829514293824756,0.8264199942235433,0.40092038474360453,0.003094299601212769,0.9374872814231764,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),uv,CatBoost,0.8264324249382455,0.7822039985096423,0.40452787209055446,0.04422842642860325,0.718501469580454,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),uv,RandomForest,0.8379662739343682,0.7316649409087222,0.39085607052971666,0.10630133302564593,0.55,Overfit Risk
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),uv,XGBoost,0.7750900320148956,0.7397232292329142,0.46048819790534856,0.035366802781981344,0.1587214920127085,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),tmax,LightGBM,0.9075896570994435,0.9173758483537297,1.0397064063814756,0.009786191254286147,0.9220163399360221,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),tmax,CatBoost,0.9012296351188923,0.8978941844625185,1.0748893457075228,0.0033354506563738617,0.7410511678176405,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),tmax,XGBoost,0.8903137619878582,0.890602478906495,1.1327302530035332,0.00028871691863685545,0.4263195196523884,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),tmax,RandomForest,0.8898916975621322,0.7217585010681022,1.13490749112458,0.1681331964940299,0.1,Overfit Risk
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),tmin,CatBoost,0.9705621408611455,0.9636660506992921,0.8263012374598347,0.00689609016185333,0.991794964625159,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),tmin,LightGBM,0.969260087061263,0.9637263967122566,0.8443774146384241,0.005533690349006415,0.9747867064617823,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),tmin,XGBoost,0.9639256009086837,0.9634374583497802,0.9147129855566077,0.0004881425589035038,0.8556175920050091,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),tmin,RandomForest,0.9363536694276529,0.7781073301726135,1.2149879670386197,0.1582463392550394,0.0,Overfit Risk
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),dew_point,CatBoost,0.9697458003751132,0.9604858970073291,0.7775249743502579,0.00925990336778404,0.989595441779092,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),dew_point,LightGBM,0.9681358872595301,0.9581125669218296,0.7979440276541516,0.010023320337700592,0.934831622589703,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),dew_point,XGBoost,0.9601953644458378,0.9614457694751731,0.8918428594630993,0.0012504050293353774,0.6073121223089777,Robust
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),dew_point,RandomForest,0.9548349065896986,0.7775453339668884,0.9499986101380318,0.1772895726228102,0.0,Overfit Risk
Bandarban,6. Hill Tract Zone (Elevated Terrain),temperature,LightGBM,0.9441632440710047,0.9439501944287233,0.7626148746412581,0.00021304964228141543,0.9999999999999999,Robust
Bandarban,6. Hill Tract Zone (Elevated Terrain),temperature,CatBoost,0.9409576604781313,0.9392039016869228,0.7842002233803368,0.0017537587912085373,0.9632266789382009,Robust
Bandarban,6. Hill Tract Zone (Elevated Terrain),temperature,XGBoost,0.9367879426462014,0.9438385006002761,0.8114189489225802,0.007050557954074721,0.9245018527317554,Robust
Bandarban,6. Hill Tract Zone (Elevated Terrain),temperature,RandomForest,0.8909463668689083,0.7302870090149531,1.0657743211513588,0.16065935785395513,0.0,Overfit Risk
Bandarban,6. Hill Tract Zone (Elevated Terrain),humidity,LightGBM,0.7434900890749416,0.7351910554462098,3.6422545219604534,0.008299033628731856,0.8428974070293058,Robust
Bandarban,6. Hill Tract Zone (Elevated Terrain),humidity,CatBoost,0.7334771344138507,0.7286520231453497,3.7126623445908846,0.004825111268500937,0.8002172998769377,Robust
Bandarban,6. Hill Tract Zone (Elevated Terrain),humidity,RandomForest,0.7688766873458311,0.7011746382309629,3.457324095869495,0.06770204911486821,0.7143856627189736,Robust
Bandarban,6. Hill Tract Zone (Elevated Terrain),humidity,XGBoost,0.6451655244166128,0.6358606795548767,4.283819079402992,0.009304844861736106,0.18575078956872584,Robust
