zone_name,variable,month,mean,min,max
1. Northwest Extreme Heat Zone (Dry Hot Plains),cdd,1,0.08994545661200859,0.0,1.3386066452691967
1. Northwest Extreme Heat Zone (Dry Hot Plains),cdd,2,2.7098518335333805,1.8179688582319145,4.583499900400092
1. Northwest Extreme Heat Zone (Dry Hot Plains),cdd,3,7.4062827731785115,6.48739227094816,8.972328692245721
1. Northwest Extreme Heat Zone (Dry Hot Plains),cdd,4,11.2391085872769,9.7110680484711,12.628056848668985
1. Northwest Extreme Heat Zone (Dry Hot Plains),cdd,5,11.361379108394548,10.201839073679631,12.30987382237667
1. Northwest Extreme Heat Zone (Dry Hot Plains),cdd,6,12.114517309287095,10.829695129237074,13.443584434736591
1. Northwest Extreme Heat Zone (Dry Hot Plains),cdd,7,12.406603423006313,11.849147313870787,12.80848119807113
1. Northwest Extreme Heat Zone (Dry Hot Plains),cdd,8,12.246747410855118,11.531369735637876,12.472817207179258
1. Northwest Extreme Heat Zone (Dry Hot Plains),cdd,9,11.973811634176048,11.556078946584382,12.162364321476577
1. Northwest Extreme Heat Zone (Dry Hot Plains),cdd,10,9.878628219417388,8.889495430777451,10.6038551199039
1. Northwest Extreme Heat Zone (Dry Hot Plains),cdd,11,6.268295643449484,5.202504049732639,7.498153285098166
1. Northwest Extreme Heat Zone (Dry Hot Plains),cdd,12,2.1421109941945797,1.2318462176363738,3.435256447607067
1. Northwest Extreme Heat Zone (Dry Hot Plains),heat_index,1,16.436171250819648,15.70605572561611,18.67331676381914
1. Northwest Extreme Heat Zone (Dry Hot Plains),heat_index,2,19.989755288565586,19.03690410780483,22.115779054848247
1. Northwest Extreme Heat Zone (Dry Hot Plains),heat_index,3,25.302130940786643,24.51989964677297,27.67719565969268
1. Northwest Extreme Heat Zone (Dry Hot Plains),heat_index,4,32.60674853651386,30.41103368253045,35.53142198818376
1. Northwest Extreme Heat Zone (Dry Hot Plains),heat_index,5,34.5618223508353,32.68095889794339,36.98481408392332
1. Northwest Extreme Heat Zone (Dry Hot Plains),heat_index,6,37.28691173112365,34.71890921528296,40.5713822066468
1. Northwest Extreme Heat Zone (Dry Hot Plains),heat_index,7,38.763794145648724,35.16475606603011,39.907641301463045
1. Northwest Extreme Heat Zone (Dry Hot Plains),heat_index,8,38.1928208793354,34.3915456201302,38.76324574931522
1. Northwest Extreme Heat Zone (Dry Hot Plains),heat_index,9,37.46944160108907,34.62675770412436,38.08544977410763
1. Northwest Extreme Heat Zone (Dry Hot Plains),heat_index,10,30.86256402479904,29.00784911799119,32.24766028034483
1. Northwest Extreme Heat Zone (Dry Hot Plains),heat_index,11,23.9826305014124,23.128295575047808,25.59899696973347
1. Northwest Extreme Heat Zone (Dry Hot Plains),heat_index,12,19.225721017338916,18.407860345485297,21.08374212154392
1. Northwest Extreme Heat Zone (Dry Hot Plains),heatstroke_hazard,1,4.287022285543394e-08,2.4014595758478426e-08,1.5571946433927734e-07
1. Northwest Extreme Heat Zone (Dry Hot Plains),heatstroke_hazard,2,4.047836850416838e-07,1.958003316501998e-07,1.3621250468095018e-06
1. Northwest Extreme Heat Zone (Dry Hot Plains),heatstroke_hazard,3,1.182270671790219e-05,6.194100714136933e-06,4.5264271073438834e-05
1. Northwest Extreme Heat Zone (Dry Hot Plains),heatstroke_hazard,4,0.006333721819215312,0.0006327985898462138,0.0247393981297016
1. Northwest Extreme Heat Zone (Dry Hot Plains),heatstroke_hazard,5,0.02139760325567255,0.004214107136388994,0.07384318382969232
1. Northwest Extreme Heat Zone (Dry Hot Plains),heatstroke_hazard,6,0.13818830379270933,0.018761010143772676,0.4329191217200222
1. Northwest Extreme Heat Zone (Dry Hot Plains),heatstroke_hazard,7,0.21393390459384384,0.024696420639295384,0.334479073444117
1. Northwest Extreme Heat Zone (Dry Hot Plains),heatstroke_hazard,8,0.1580493467075338,0.012255373498581513,0.19637217538031543
1. Northwest Extreme Heat Zone (Dry Hot Plains),heatstroke_hazard,9,0.10373997700059136,0.0141781176048954,0.1375137884878227
1. Northwest Extreme Heat Zone (Dry Hot Plains),heatstroke_hazard,10,0.0015762665288110067,0.00041858429106902544,0.0032121335569163688
1. Northwest Extreme Heat Zone (Dry Hot Plains),heatstroke_hazard,11,4.6945240504174775e-06,2.5777188964268994e-06,1.2224217003010623e-05
1. Northwest Extreme Heat Zone (Dry Hot Plains),heatstroke_hazard,12,2.3843228621165107e-07,1.3173576999894417e-07,7.109636346717713e-07
1. Northwest Extreme Heat Zone (Dry Hot Plains),humidity,1,79.9522344977264,71.76257949617548,84.14095473652323
1. Northwest Extreme Heat Zone (Dry Hot Plains),humidity,2,72.41943823747135,63.12223673491427,77.41470964458067
1. Northwest Extreme Heat Zone (Dry Hot Plains),humidity,3,69.31098074109516,61.13997820230482,74.5081572086495
1. Northwest Extreme Heat Zone (Dry Hot Plains),humidity,4,71.64615504375499,64.30452420456653,77.5062427407869
1. Northwest Extreme Heat Zone (Dry Hot Plains),humidity,5,79.3448289821699,71.70324238221146,82.92575937922531
1. Northwest Extreme Heat Zone (Dry Hot Plains),humidity,6,82.81354001947679,75.59578203286212,85.64691716299254
1. Northwest Extreme Heat Zone (Dry Hot Plains),humidity,7,83.51057113183816,76.2876286851421,85.84209099048198
1. Northwest Extreme Heat Zone (Dry Hot Plains),humidity,8,83.7748985875166,76.63063861807657,85.56599895768599
1. Northwest Extreme Heat Zone (Dry Hot Plains),humidity,9,84.21475488056213,75.94259658404701,85.7809996466058
1. Northwest Extreme Heat Zone (Dry Hot Plains),humidity,10,82.47563865107308,72.7919930997778,85.41494598530677
1. Northwest Extreme Heat Zone (Dry Hot Plains),humidity,11,78.21205233575772,68.7050653612557,83.18275958521632
1. Northwest Extreme Heat Zone (Dry Hot Plains),humidity,12,79.52467643975868,71.81681603978821,83.99726150437758
1. Northwest Extreme Heat Zone (Dry Hot Plains),temperature,1,16.629976378829408,15.967558655871594,18.85814592856273
