zone_name,district,variable,month,value
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heat_index,1,18.25957177963226
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heat_index,2,22.16071001427455
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heat_index,3,27.99672647331893
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heat_index,4,36.984000422761014
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heat_index,5,38.44429300919427
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heat_index,6,40.194607681364204
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heat_index,7,37.83931707714186
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heat_index,8,36.63777917603804
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heat_index,9,36.88097811027538
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heat_index,10,33.648586747375475
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heat_index,11,24.988499769983882
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heat_index,12,20.467724767317648
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wet_bulb,1,15.664198786878545
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wet_bulb,2,18.5032883278504
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wet_bulb,3,22.43113071516086
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wet_bulb,4,26.500205392737087
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wet_bulb,5,27.23268722525935
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wet_bulb,6,28.060652385369885
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wet_bulb,7,27.525568399328137
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wet_bulb,8,27.177307176358504
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wet_bulb,9,27.231902585106873
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wet_bulb,10,26.019734554092402
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wet_bulb,11,21.5774971699023
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wet_bulb,12,17.67758590965152
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_shade,1,16.46700966716704
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_shade,2,19.554226511995466
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_shade,3,23.63050303862309
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_shade,4,27.67673486827012
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_shade,5,28.207552914571128
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_shade,6,28.790051141700598
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_shade,7,28.14185562854079
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_shade,8,27.783091035955565
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_shade,9,27.851892989305064
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_shade,10,26.73259473319509
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_shade,11,22.436614830547583
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_shade,12,18.471779938374112
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_sun,1,17.448213961071197
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_sun,2,20.624312521061437
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_sun,3,24.853097445177532
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_sun,4,28.921887716420414
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_sun,5,29.349475611740793
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_sun,6,29.69474399759956
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_sun,7,29.009843856765855
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_sun,8,28.612716435184794
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_sun,9,28.72771819221054
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_sun,10,27.632438463198266
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_sun,11,23.347365747013804
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,wbgt_sun,12,19.31814863152662
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heatstroke_hazard,1,1.1999025775660933e-07
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heatstroke_hazard,2,1.4012517663495618e-06
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heatstroke_hazard,3,0.0001383962164568868
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heatstroke_hazard,4,0.07378173016455998
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heatstroke_hazard,5,0.16658671035187772
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heatstroke_hazard,6,0.37581362545630526
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heatstroke_hazard,7,0.12014148804902942
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heatstroke_hazard,8,0.06019748169432505
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heatstroke_hazard,9,0.06947199704576482
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heatstroke_hazard,10,0.009649043191770696
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heatstroke_hazard,11,8.321469788093164e-06
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,heatstroke_hazard,12,4.82289774190531e-07
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,cdd,1,1.3525416855603858
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,cdd,2,4.849089478162961
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,cdd,3,9.117242491923177
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,cdd,4,13.17073728351193
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,cdd,5,12.839827008390667
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,cdd,6,12.93230336852601
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,cdd,7,12.091095822351514
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,cdd,8,11.754999877642934
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,cdd,9,11.891791570630565
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,cdd,10,10.877067647188692
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,cdd,11,7.173140538444651
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,cdd,12,3.3510451960009373
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,temperature,1,18.340235054506863
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,temperature,2,22.00641560833396
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,temperature,3,26.42903846003496
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,temperature,4,30.421970311180537
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,temperature,5,30.48223952296528
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,temperature,6,30.491981573138936
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,temperature,7,29.57985916337031
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,temperature,8,29.19658670834871
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,temperature,9,29.298537265767514
3. Southwest Hot-Dry Zone (Drought or Saline),Bagerhat,temperature,10,28.395935151101362
